evid,sta,vs30,epicenter_dist,epicenter_azimuth,Z1.0,TRI,TWI,geoage,PGA,pSA_0.03,pSA_0.06,pSA_0.1,pSA_0.3,pSA_0.6,pSA_1.0,pSA_2.0,pSA_3.0,pSA_4.0,pSA_5.0,pSA_6.0,lat,lon
3366146,ODZ,697,206.610473,3.759370244,23,34.9718,6.958,250,0.122291511,0.450675282,0.81459385,0.767403702,0.601258745,0.385980466,-0.088771505,0.166676425,-1.767623644,-0.75480989,-1.674128315,-1.849550324,-45.04398211,170.6446222
3366146,QRZ,1000,302.8251836,0.102071637,15,45.6208,5.327,443,-0.650920572,-0.617623482,-0.411688349,-0.289282626,0.14741882,-0.396885026,-0.183249532,-0.181971664,-0.578511041,0.627773122,0.43056723,0.685726434,-40.82552162,172.5291478
3366146,WKZ,1000,289.4258857,4.175823037,15,50.2259,5.8755,199.6,0.357297711,0.298743454,0.225167438,0.197536862,0.63956051,0.700046182,1.378245856,1.686743918,1.535614156,0.616007069,0.376826508,-0.324782138,-44.82702135,169.017562
3366146,EAZ,745,295.1820049,4.004224611,23,35.6269,5.4307,199.6,-0.371787573,-0.186230396,0.359392729,0.580035001,0.237926708,-0.158351125,-0.181583007,-1.027341376,-1.267717347,-1.959521203,-2.134230763,-1.126026455,-45.2310534,169.3082534
3366146,OPZ,1500,288.720099,3.576195516,0,74.2962,4.4641,11.3,0.243576435,0.18869464,0.139666215,0.184761834,0.63766615,1.820923982,0.934545849,1.310792612,1.444190906,0.975575514,-0.056584345,-1.559848343,-45.88435567,170.5977667
3366146,DSZ,800,201.365453,6.134363135,40,12.5798,6.9226,33.7,-0.578044286,-0.658694389,-0.726818477,-0.484792638,0.162427187,0.018436877,0.303923925,0.026088086,-0.022669775,-0.388294641,-0.69390903,-0.927063807,-41.74496082,171.8046144
3366146,LBZ,1000,184.6355638,4.165372459,15,52.829,6.7501,215,-0.911344601,-1.081502562,-1.330341443,-0.940203765,0.067809477,0.771040872,0.024160466,0.379227077,0.319231012,-0.531369387,-0.344548171,0.072996115,-44.38555284,170.1844199
3366146,HPSC,194,43.74308559,1.480877161,645,0.1176,13.3875,0,-0.495937443,-0.51188887,-0.20699152,-0.876568198,-1.007474096,-0.791146252,-0.950735,-0.852766199,-0.523897604,0.238142616,-0.132605925,-0.340423652,-43.50157547,172.7021942
3366146,DCDS,600,291.0654271,3.600799056,27,17.9003,7.5773,12,1.503169845,1.472520846,1.550890802,1.557602771,2.563541574,1.67038889,1.312034271,0.524496701,0.201131234,0.121693887,0.480263973,-1.567209208,-45.87433511,170.5021555
3366146,DKHS,203,294.146965,3.598092951,58,2.2425,9.4396,0,3.024475978,2.975953511,2.956549168,3.059691087,3.047113218,2.63815019,0.495108098,0.65529944,0.668891599,0.001881161,0.304173887,-1.013069353,-45.90222588,170.4929352
3366146,DSLC,500,14.63208476,2.950710756,455,2.5198,11.5836,0.012,-0.34996869,-0.386633698,-0.544538457,-0.784306464,-0.164067457,-0.550624757,-0.441534932,-0.442232289,-0.087601029,0.045337959,1.227307011,1.940488273,-43.66749947,172.19792
3366146,FDCS,301,124.1319469,4.178843154,515,3.1235,9.8175,0,1.883137763,1.8177596,1.645074802,1.386526343,1.790571624,1.436320149,1.675987514,1.293139271,0.907007324,-0.625698866,-2.360622076,-2.308756899,-44.09865703,170.8286999
3366146,FGPS,271,173.5683467,4.747525174,73,18.9217,5.581,0,-0.303118028,-0.323675975,-0.400055032,-0.691329629,-0.489403999,0.136001255,0.242424278,1.381273859,1.059591036,0.844189913,0.625466041,0.415854007,-43.46320814,170.0198028
3366146,FJDS,270,161.0222894,4.803526593,63,38.0626,5.8486,0,-1.091882841,-1.114815369,-1.149691246,-1.27264637,-0.791921912,-0.579730557,-0.046018268,0.737374358,0.402927559,0.460990513,0.155441492,0.271232857,-43.38913671,170.1842354
3366146,IFPS,284,106.2292767,5.721627957,108,7.8478,8.1516,0,-0.634028317,-0.666729193,-0.8680544,-0.932228454,-0.893957445,0.574645979,0.361727333,-1.048214624,-0.673260129,0.008937936,-1.39266068,-1.333580503,-42.72674365,171.4728354
3366146,GDLC,457,8.055494414,3.988728578,517,1.6604,11.5245,0.012,0.546522163,0.916352502,0.349238979,0.131097236,-0.355935245,-0.364253481,0.280646251,0.522537868,-0.063815079,0.35457086,0.677651722,0.083481146,-43.586183,172.088753
3366146,LPLS,275,222.0288315,4.607494795,63,11.4226,8.072,0,-0.083113529,-0.075685554,0.065622366,-0.032534382,-0.966597457,-0.571423016,0.654985413,-0.294529537,-0.379597935,-0.881367111,-0.855322536,-0.063189546,-43.71465288,169.4230937
3366146,LSRC,455,80.44489392,0.39605762,68,12.7528,7.8173,206,1.117952751,0.947947346,0.517511974,0.289290553,0.859935899,1.374440578,1.521088587,1.455802581,1.719883106,1.635671901,2.171531359,2.422747497,-42.86952006,172.5432885
3366146,QTPS,270,324.9703945,4.155132281,78,15.5786,7.2167,0,2.247459006,2.199333408,2.242582476,2.20411754,2.367006115,1.728082926,0.613854795,-0.578496834,-1.38950365,-1.259762463,-1.234561016,-0.357969607,-45.03215591,168.6628861
3366146,REHS,155,38.16895227,1.526303744,645,3.1571,11.1263,0,0.067733342,0.078683282,0.391330998,0.152747158,0.41983795,0.108819011,-0.944797721,-1.227047324,-1.192894791,-1.627943869,-1.691034336,-1.342606258,-43.52194686,172.6351465
3366146,RHSC,286,32.40462989,1.566252954,445,0.3484,12.7008,0,-1.102856724,-1.170994419,-1.139995616,-0.809642641,-0.228490448,-1.626680601,-1.963821695,-1.004737919,-0.685329854,-0.347397284,-0.070203843,0.038385841,-43.536172,172.564404
3366146,RKAC,452,26.26140588,3.58657716,778,0.584,11.5015,0,-0.23928006,-0.26289277,-0.317048208,-0.222723295,-0.28803704,-0.922396701,-1.073835709,-1.22802088,-1.343346881,-1.313465889,-1.130737821,-1.262790256,-43.75146119,172.0231473
3366146,RPZ,1000,91.67504239,4.490257113,15,54.4522,6.9284,0,0.319879293,0.087025733,-0.222971488,0.068714394,0.471551697,1.185659094,1.171541348,0.251251461,0.547274905,0.49957399,0.116654598,0.177428418,-43.71460758,171.0538649
3366146,CACS,435,30.26122427,1.369579712,595,1.3603,11.6793,0,-0.829875718,-0.847908845,-0.484190873,-0.280372754,-0.408249151,-1.532502089,-1.384754425,-1.078615178,-0.452149426,0.405522642,0.775030475,1.569031386,-43.48317559,172.5300153
3366146,SBRC,200,30.89739296,2.908010974,425,0.9704,12.1359,0,-0.055897684,-0.034091671,-0.047079024,0.15816667,-0.626256333,-0.997707967,-1.643666188,-1.915835821,-1.390566159,-2.163567594,-0.190144709,0.828957991,-43.8087033,172.25238
3366146,CSHS,377,49.69857068,5.480587687,58,12.8949,6.8601,0.012,-0.182062941,-0.322039535,-0.512579668,-0.194258288,0.042198367,0.115157666,0.595729474,0.779317602,0.645851936,0.567585584,0.262349694,-0.326015539,-43.22652687,171.7235561
3366146,CHHC,196,37.50647431,1.566858379,515,4.5576,11.1393,0,-0.943432583,-0.961885101,-0.823544273,-1.083315691,-0.610748429,-0.816360685,-1.072899288,-1.158410203,0.130144283,-0.618735585,-0.908187835,-0.731753849,-43.535929,172.627523
