sta,sta_lat,sta_lon,k0_mean,k0_stderr,ks_mean,ks_stderr,n_records,vs30,Z1.0,TRI,slope
ADCS,-43.9024444,171.747563,0.04604,0.02018,0.00076,0.0002,60,431,1135,2.6947,0
AKSS,-43.81091,172.96349,0.02004,0.00502,0.00023,5.00E-05,158,435,10,25.9728,0.095
AMBC,-43.15467772,172.7308795,0.04543,0.01046,0.00067,0.00014,138,240,845,1.1693,0
APPS,-42.94894944,171.5677355,0.05443,0.01003,0.00031,0.0001,143,300,30,17.5935,0.1372
APZ,-46.83180552,167.9888255,0.0233,0.04365,7.00E-05,0.00026,9,1500,5,32.913,0.1163
ARKS,-41.24207703,174.9440964,0.06773,0.00968,0.00067,0.0001,230,267,20,24.6228,0.0629
ARPS,-42.52395847,171.4078656,-0.01405,0.01449,0.00091,0.00013,17,307,98,3.7336,0.0144
ASHS,-43.27441041,172.5959472,0.02562,0.00509,0.00097,8.00E-05,269,287,1085,5.527,0
AWRB,-41.658785,174.076946,0.07983,0.02166,0.00032,0.00032,39,215,50,1.504,0
BDCS,-46.24906366,169.7193727,-0.0218,0.02467,0.00048,0.00012,10,549,35,18.0113,0.0528
BFZ,-40.67964728,176.2462451,0.04555,0.0126,0.00024,0.0001,50,800,0,59.9484,0.1918
BKZ,-39.16566564,176.4925437,0.08901,0.02135,-8.00E-05,0.0002,25,730,0,73.3171,0.2713
BMTS,-41.191372,174.92603,0.04499,0.0094,0.0006,0.0001,230,1000,15,46.4032,0.0868
BOWS,-41.279193,174.776323,0.09159,0.01217,0.00043,0.00013,140,267,65,7.6556,0.0331
BSWZ,-41.71491545,173.8757409,0.06423,0.0086,0.00046,0.0001,94,675,35,75.8956,0.2078
BTWS,-41.38923599,173.1285128,0.12967,0.02079,0.00021,0.00019,159,500,40,3.8985,0
BWHS,-43.480415,172.6821837,0.063,0.0251,0.00091,0.00035,15,203,715,0.3232,0
BWRS,-41.43954404,173.9051179,0.08606,0.00403,4.00E-05,5.00E-05,330,679,5,51.0616,0.1527
CACS,-43.48317559,172.5300153,0.03612,0.0028,0.00097,5.00E-05,246,435,595,1.3603,0
CBGS,-43.52934701,172.6198762,0.05007,0.00253,0.00091,5.00E-05,231,197,545,0.1709,0
CCCC,-43.538085,172.647427,0.07156,0.00542,0.00072,8.00E-05,126,182,495,3.4983,0
CECS,-42.81349055,173.2748682,0.08731,0.00781,0.00032,9.00E-05,236,244,233,5.9593,0.0174
CHHC,-43.535929,172.627523,0.06404,0.00927,0.00089,0.00066,73,196,515,4.5576,0
CMHS,-43.56561796,172.6241761,0.04346,0.00256,0.00076,4.00E-05,270,213,125,1.1745,0
CMWZ,-41.74901708,174.213825,0.13399,0.012,0.0003,0.00021,32,800,95,28.2321,0.165
CPFS,-40.89876213,176.2209639,0.11823,0.02342,0.00031,0.00021,24,245,10,20.6343,0.0625
CPLB,-41.278806,174.78209,0.166,0.00683,0.00025,9.00E-05,172,244,247,10.7,0.0179
CRLZ,-43.574741,172.6232219,0.01785,0.00242,0.00055,0.0001,138,900,0,38.8531,0.1316
CRSZ,-42.14457,173.8154,0.08879,0.0084,0.00022,0.00011,113,1000,15,76.6903,0.4827
CSHS,-43.22652687,171.7235561,0.05137,0.0075,0.00057,8.00E-05,160,377,58,12.8949,0.0354
CSTC,-43.31229082,172.3813342,-0.00027,0.00432,0.001,7.00E-05,147,399,575,2.241,0.000003452
CUBS,-41.295463,174.774381,0.0625,0.02292,0.00085,0.00035,51,278,47,9.4711,0.0192
CULC,-42.759438,172.8026023,0.03621,0.00671,0.00085,9.00E-05,166,407,70,2.4789,0.0181
CVZ,-44.38318,171.00616,0.08147,0.03014,0.00011,0.00021,35,1500,0,32.4757,0.1984
D13C,-43.606541,172.644913,0.07799,0.02518,-0.00011,0.00139,11,1000,15,59.3569,0.335
D14C,-43.632534,172.624664,-0.04957,0.05507,0.00473,0.00362,10,726,0,72.2376,0.3312
DALS,-43.51198,172.67323,0.05088,0.00711,0.00106,0.00012,85,188,625,0.2732,0
DAVS,-41.20578668,174.9543598,0.07732,0.01107,0.00035,0.00011,163,300,35,11.9358,0.0203
