"station","x","y","k0Val","TVZ"
"SYZ",2213.6148651,5400.9180146,0.0117,0
"PYZ",2022.2332615,5430.2853933,0.0135,0
"OPZ",2323.3948256,5477.6343922,0.01,0
"WHZ",2117.9171602,5467.462284,0.009,0
"TUZ",2248.7191776,5467.3055544,0.0059,0
"DCZ",2053.0746011,5510.7784243,0.0135,0
"EAZ",2220.1230387,5546.4989911,0.016,0
"LBZ",2285.6833303,5643.096887,0.022,0
"JCZ",2172.5455256,5673.0216491,0.027,0
"RPZ",2353.1917563,5719.6042464,0.021,0
"CRLZ",2479.5776565,5736.8992539,0.0319,0
"MQZ",2482.1045522,5722.3178743,0.0297,0
"AKSS",2507.0743401,5710.7258414,0.0334,0
"D14C",2479.7224763,5730.4795013,0.0251,0
"MTPS",2487.8508294,5735.8288231,0.0393,0
"FOZ",2252.6650174,5736.7892294,0.019,0
"WVZ",2325.7146467,5790.0641411,0.009,0
"LTZ",2450.3609979,5824.8127082,0.016,0
"INZ",2382.5845224,5830.2384556,0.022,0
"KHZ",2554.3629348,5865.5623533,0.031,0
"THZ",2502.1122607,5938.2754945,0.0122,0
"DSZ",2410.5627927,5939.5206287,0.023,0
"NNZ",2541.8091347,5998.7805059,0.021,0
"WEL",2658.0938072,5989.9158505,0.032,0
"BHW",2666.4189205,5975.9478577,0.036,0
"BFZ",2784.350708,6053.4562832,0.05,0
"PXZ",2839.5247289,6123.3714627,0.044,0
"BKZ",2811.7717161,6220.6321294,0.029,0
"WAZ",2680.1399615,6159.2939374,0.0185,0
"VRZ",2662.0928563,6229.6609247,0.017,0
"KNZ",2914.5701832,6231.9324253,0.042,0
"HIZ",2671.9377519,6297.3337641,0.015,0
"TLZ",2732.0013977,6316.2079482,0.016,0
"MWZ",2905.7953362,6308.8293753,0.05,0
"URZ",2869.7695323,6318.8673985,0.03,0
"PUZ",2971.1730493,6334.4585556,0.048,0
"TOZ",2730.7218981,6382.6851903,0.027,0
"MXZ",2978.8137738,6390.6438631,0.03,0
"WCZ",2631.9721937,6583.8022017,0.029,0
"UTU",2789.9095122,6331.3072678,0.0525,1
"WHTZ",2767.4120675,6277.7408,0.055,1
"MARZ",2832.8810634,6350.9436026,0.052,1
"TGRZ",2797.5924367,6380.7563395,0.024,0
"PAWZ",2712.9593266,5977.7653845,0.052,0
"CKHZ",2859.7980619,6163.8655895,0.052,0
"WIAZ",2700.89,6487.588,0.03,0
